Review,Rating,Review_clean,sentiment
Huge - swallowed me whole,2,huge   swallow,0.3182
"So, so small!",3,small,0.0
Great swing dress ... but not for me,4,great swing dress  ,0.6249
"After washed, it wrinkles very easy",3,wash wrinkle easy,0.4404
Different Color Different Size,1,different color different size,0.0
Light summer dress,5,light summer dress,0.0
"Great jersey, but, had a hole under the armpit",3,great jersey hole armpit,0.6249
"Med was tight, LG is really big",4,me tight lg big,0.0
Short and shapeless,1,short shapeless,0.0
Weird all around,2,weird,-0.1779
Legs are tight,3,leg tight,0.0
Too short for my liking,4,short liking,0.4019
La mezclilla es muy delgada,3,la mezclilla es muy delgada,0.0
Fell short,4,fall short,0.0
Quality Control,3,quality control,0.0
Disapppointing,2,disapppointe,0.0
Cute for a straight figure,3,cute straight figure,0.5994
"Again, my bad for not looking at description...",2,bad look description,-0.5423
Crossback day dress,3,crossback day dress,0.0
Excellent Addition to Your Closet!!,5,excellent addition closet,0.5719
Ordered three of these.This one is cut too large.,1,order thesethis cut large,-0.2732
A bit short,4,bit short,0.0
Faulty zipper problem,2,faulty zipper problem,-0.6124
Size not as advertised,1,size advertise,0.0
Great style | not so great construction,3,great style   great construction,0.8481
Favorite!,5,favorite,0.4588
Perfect for any occasion!,5,perfect occasion,0.5719
"Not a nice short.  Still has tags, not happy",1,nice short   tag happy,0.7579
Better with a belt!,4,well belt,0.2732
Not 9 inch inseam,1,9 inch inseam,0.0
Stylish dress,5,stylish dress,0.0
"Flimsy, I'm an electrician and these tore within 2 days",1,flimsy m electrician tear 2 day,0.0
Not as bad as previously reviewed,4,bad previously review,-0.5423
Looks better online runs small,4,look well online run small,0.2732
Basically a crop top,1,basically crop,0.0
Wish they were an inch or two longer,4,wish inch long,0.4019
Updated white shirt,4,update white shirt,0.0
I liked it but too small in hips,3,like small hip,0.3612
Nice design but poorly executed,1,nice design poorly execute,0.4215
This dress is an awful boxy dress. I saw the picture and it doesn’t look at all like it.,1,dress awful boxy dress see picture not look like,-0.6261
Beautiful but runs huge,3,beautiful run huge,0.7351
Perfect for mediterenian summer,4,perfect mediterenian summer,0.5719
Can be flattering,4,flattering,0.3182
"arrived damaged, left side from armpit to bottom stitch had become open like a cape. I fixed it.",2,arrive damage left armpit stitch open like cape fix,-0.1779
Great pair of pants!,5,great pair pant,0.6249
Flawed pattern,3,flawed pattern,-0.4767
FIT LIKE A GLOVE,4,fit like glove,0.6124
It's not a black and white top - it's ecru and bla,3,black white   ecru bla,0.0
Long sleeves and enormous pointed lapel,1,long sleeve enormous pointed lapel,0.0
Super tight legs.,3,super tight leg,0.5994
"Great color, fit was not flattering",3,great color fit flattering,0.836
"Too transparent/ thin material and. Not white,",1,transparent thin material white,0.0
Tighter fit than same product bought at Walmart,3,tighter fit product buy walmart,0.3612
Good fit good feel,4,good fit good feel,0.8074
This is a scam product,1,scam product,-0.5719
Shrink lots,2,shrink lot,0.0
This is like ten times bigger than what you think it will be.,1,like time big think,0.3612
it’s great for winter,5,great winter,0.6249
Happy Customer,5,happy customer,0.5719
Simple and nice,5,simple nice,0.4215
"Loungewear, not outdoor wear",2,loungewear outdoor wear,0.0
returned,1,return,0.0
Fit and look great,5,fit look great,0.765
Lovely lace design but sheer,4,lovely lace design sheer,0.5859
Comfort with style,4,comfort style,0.3612
Returned them,1,return,0.0
Not Levi,1,levi,0.0
Not for tall ladies,2,tall lady,0.0
Falling for fringe,5,fall fringe,0.0
"Beautiful, dramatic trench, but impractical upkeep",3,beautiful dramatic trench impractical upkeep,0.5994
Color not the same as description.,3,color description,0.0
What a dress!!!,5,dress,0.0
Not very satisfied,2,satisfied,0.4215
Not if you have bigger breasts,3,big breast,0.0
Thinest material for a dress!,2,thinest material dress,0.0
talla chica 😞,3,talla chica,0.0
I’m pleased with this product,4,m pleased product,0.4404
bad quality pants,1,bad quality pant,-0.5423
"Wanted to love it, and MOSTLY do...",4,want love,0.6705
Eh I wouldn’t buy again,2,eh not buy,0.0
No o calidad,1,o calidad,0.0
Casual chic,5,casual chic,0.4404
Nice fabric but too small,2,nice fabric small,0.4215
So much prettier online,3,pretty online,0.4939
Be careful how you wash!,2,careful wash,0.1531
"So comfy and cute, runs big",5,comfy cute run big,0.4588
Fine on sale,3,fine sale,0.2023
Cheap terrible material,1,cheap terrible material,-0.4767
Wish this worked!,2,wish work,0.4019
Very thin fabric,1,thin fabric,0.0
Hot mess on me,2,hot mess,-0.3612
Could use better Quality Assurance checking,3,use well quality assurance checking,0.5423
I love them.,5,love,0.6369
Quality has gone,1,quality go,0.0
sloppy sleeves and neck,2,sloppy sleeve neck,0.0
The jeans are Excellent material fit perfect I just love ordering from Amazon,5,jean excellent material fit perfect love order amazon,0.9413
the worse shorts ever,1,bad short,-0.5423
I bought these jeans for my husband. He loves them!! ❤,4,buy jean husband love,0.6369
"It is a very faded red, when it said it was red so disappointing  for it not to be red",1,fade red say red disappointing   red,-0.4939
Perfect for a female too!,5,perfect female,0.5719
Poor quality material. After the first wearing it started to pill.,1,poor quality material wear start pill,-0.4767
Mehh,2,mehh,0.0
"Too big, even tho is Small",4,big tho small,0.0
SOFT AND WASHES WELL,4,soft wash,0.0
I am happyexactly what I wanted,5,happyexactly want,0.0772
Pretty design. awful neckline,3,pretty design awful neckline,0.0516
Cute spring/summer top,5,cute springsummer,0.4588
Runs Large and is Thick Fabric,4,run large thick fabric,0.0
Kind of calssic retailer,4,kind calssic retailer,0.5267
"Strange cut, pretty idea",4,strange cut pretty idea,0.0772
So perfect...except that zipper,2,perfectexcept zipper,0.0
Comfortable go-to shirt!,4,comfortable goto shirt,0.5106
Tts but smaller than the pilcro high rises,4,tts small pilcro high rise,0.0
That product fits properly.,5,product fit properly,0.3612
The smell on these is horrible.,1,smell horrible,-0.5423
Fit great!,5,fit great,0.765
Not for the broad-shouldered,3,broadshouldered,0.0
Love my new workout clothes!!,5,love new workout clothe,0.6369
A Little Big but Easily Adjustable,4,little big easily adjustable,0.2782
Look elsewhere,2,look,0.0
Large and thin,3,large thin,0.0
Sheer and no slip?,1,sheer slip,0.0
Fell apart after one wash.,1,fall apart wash,0.0
Don’t think I would purchase these again,3,not think purchase,0.0
Certainly lovely,4,certainly lovely,0.7351
Fabric isnt soft,3,fabric not soft,0.0
"Pretty pattern, lacking in support",3,pretty pattern lack support,0.5574
TOO BIG EVEN FOR XS,1,big xs,0.0
Arrived damaged - used,2,arrive damage  ,-0.4939
Used only for stay at home,4,stay home,0.0
I. love. these. jeans.,5,love jean,0.6369
Decent dress,4,decent dress,0.0
Busty ladies keep scrolling.,2,busty lady scroll,0.0
TOO BIG AND NO RETURN,1,big return,0.0
"Beautiful, but not flattering",3,beautiful flattering,0.7351
CHEAP,1,cheap,0.0
Poorly made and terrible fit for playing sports,1,poorly terrible fit play sport,0.2023
Beyond cute,4,cute,0.4588
"Disappointed: runs small, arrived looking worn",2,disappoint run small arrive look worn,-0.5994
Does not look like the pic,2,look like pic,0.3612
Very soft. Poor construction.,3,soft poor construction,-0.4767
Slightly more modern take on preppy,4,slightly modern preppy,0.0
Extremely poor quality of stitching and finish -not worth $49.99: maybe $8.99 at Discount store,1,extremely poor quality stitch finish worth 4999 maybe 899 discount store,-0.3597
Great shirt for the price.,5,great shirt price,0.6249
Hmmmm - disappointed,4,hmmmm   disappoint,-0.4019
Great but not for me.,3,great,0.6249
"Good quality, right dark navy ( Zander ) color, muted color stitching.",4,good quality right dark navy   zander   color mute color stitch,0.4404
Snug and unflattering,2,snug unflattering,0.0
"Perfect, flattering sparrow jacket!",5,perfect flattering sparrow jacket,0.7184
Nice shirt but weird neck,3,nice shirt weird neck,0.2732
These pants have a terrible odor that won’t go away.,2,pant terrible odor will not away,-0.4767
"Runs small, too much distressing",3,run small distressing,-0.4019
My kid looked so grown up in it!,4,kid look grow,0.0
Can't wait for warmer weather,5,not wait warm weather,-0.1695
Shirt fits well everywhere else except in the length!!!,2,shirt fit length,0.3612
Terrible Stitching,1,terrible stitching,-0.4767
Looked like an oversize muumuu,3,look like oversize muumuu,0.3612
It looks very nice and the quality is nice.,5,look nice quality nice,0.6808
Very nice shirt but ..,3,nice shirt,0.4215
Piece didn't make sense,2,piece not sense,0.0
"Wow - had brought the same brand and size before, this was a miss",1,wow   bring brand size miss,0.4939
Rompers aren't for me,3,romper not,0.0
Such a fun dress,5,fun dress,0.5106
Comfortable and lightweight,5,comfortable lightweight,0.5106
Instant comfort,5,instant comfort,0.3612
stiff narrow tshirt,1,stiff narrow tshirt,0.0
"I like the idea, but the execution wasn't so good",3,like idea execution not good,0.0243
"Pretty, just not a keeper",4,pretty keeper,0.4939
Boxy fit and sleeves too long,1,boxy fit sleeve long,0.3612
Women’s Casual Work Office Open Front Blazer Jacket with Removable Shoulder Pads,4,women casual work office open blazer jacket removable shoulder pad,0.2023
Runs large and long,3,run large long,0.0
Runs a little big for hd,4,run little big hd,0.0
Not cotton!,1,cotton,0.0
Well-made basic,5,wellmade basic,0.0
Very comfortable sweater at a great price.,5,comfortable sweater great price,0.8126
Beautiful swimsuit,5,beautiful swimsuit,0.5994
Beautiful dreds,4,beautiful dred,0.5994
Not for big girls with big boobs,2,big girl big boob,0.0
"Great name, poor quality.",2,great poor quality,0.25
Wanted to love it....!,2,want love,0.6705
VER LONG,3,ver long,0.0
At once matronly and sexy?,3,matronly sexy,0.5267
Change armpits,4,change armpit,0.0
No gapping waste-band,5,gapping wasteband,0.0
Confused( possibly mislabeled ),2,confuse possibly mislabele,-0.2263
Good quality but runs a little small,4,good quality run little small,0.4404
comfort and feel,4,comfort feel,0.3612
Beautiful and soft but fragile,4,beautiful soft fragile,0.5994
Too skinny for me,4,skinny,0.0
Cute suit-didn't work for me,1,cute suitdidnt work,0.4588
Had to up size.,4,size,0.0
"Beautiful embroidery, poor execution",4,beautiful embroidery poor execution,0.2023
I wasn’t buying for my 10-year old,1,not buy 10year old,0.0
Cute holiday dress,4,cute holiday dress,0.6908
Color transfers to other clothes!,2,color transfer clothe,0.0
Arrived Dirty,1,arrive dirty,-0.4404
"Sleeves very tight, waist too tight.",3,sleeve tight waist tight,0.0
Pure perfection,5,pure perfection,0.5719
El tallaje es muy grande,4,el tallaje es muy grande,0.0
Hated them!,1,hate,-0.5719
Lovely colors and concept but fit is off,3,lovely color concept fit,0.743
comfortable quick dry polo,5,comfortable quick dry polo,0.5106
Nice with fast delivery,5,nice fast delivery,0.4215
Favorite Jeans,5,favorite jean,0.4588
"Very cute, but...",4,cute,0.4588
Strange Fit,1,strange fit,0.1779
Beautiful blouse; very flattering,4,beautiful blouse flattering,0.7351
Cute but . . .,3,cute   ,0.4588
Buy a full size larger these run small.,4,buy size large run small,0.0
Love it But...,4,love,0.6369
who the heck is measuring these????,3,heck measure,0.0
Short top,4,short,0.0
"Not Stretch, if you have big thighs, pass",3,stretch big thigh pass,0.0
Basic top that does the trick,3,basic trick,-0.0516
Well-Made,5,wellmade,0.0
VERY NICE SLACKS,4,nice slack,0.4215
"comfortable material, good fit",4,comfortable material good fit,0.8271
Grande de acuerdo a la talla,3,grande de acuerdo la talla,0.0
Runs small/snug.,4,run smallsnug,0.0
Runs large and sleeves are different from photo,4,run large sleeve different photo,0.0
Not as pictured?,3,picture,0.0
WRINKLE MAKERS,1,wrinkle maker,0.0
Fabric not as soft as previous purchases,3,fabric soft previous purchase,0.0
False advertising!!!,1,false advertising,0.0
"Super cute, poor quality",2,super cute poor quality,0.5859
Great hot weather tee,5,great hot weather tee,0.6249
"Kinda cheap feeling, and . . .",3,kinda cheap feeling   ,0.0571
Worse than pictured,2,bad picture,-0.5423
"Nice shirt, but very different color",4,nice shirt different color,0.4215
This is not a lightweight fleece- it is thick & bulky.  The design and price are awesome though..,4,lightweight fleece thick   bulky   design price awesome,0.6249
Not good for florida,3,good florida,0.4404
"Want to love it, but it is only okay",3,want love okay,0.7506
Comfy and Cute,5,comfy cute,0.4588
Don't recommend,3,not recommend,-0.2755
Order Up for Wide Hips,4,order wide hip,0.0
Truly unique sweater,5,truly unique sweater,0.4404
"Completely sheer, cheap",1,completely sheer cheap,0.0
Suit too big at top and two small at bottom.,3,suit big small,0.0
Light Weight Poncho Style Jacket - Stows In Built-In Pouch?,5,light weight poncho style jacket   stow builtin pouch,0.0
Fun day dress,4,fun day dress,0.5106
Flattering fit zipper stuck,4,flattering fit zipper stick,0.5859
Lovely skirt!!!!!,4,lovely skirt,0.5859
This dress is huge,2,dress huge,0.3182
Did not receive the same dress very deceiving!!!,1,receive dress deceive,-0.4019
Rough static material,1,rough static material,0.0
Cute but where is the skirt???,5,cute skirt,0.4588
Grandma sleeves,3,grandma sleeve,0.0
Good everyday shirt,3,good everyday shirt,0.4404
The jacket is too big,2,jacket big,0.0
Excellent quality and comfortable,5,excellent quality comfortable,0.7906
"Cute dress, impossible zipper, funky sizing",2,cute dress impossible zipper funky sizing,0.3818
Sizing WAY off,2,size way,0.0
"Great fit and price point; comfy, but not built to last",3,great fit price point comfy build,0.765
"Pretty colors, but fits like a sack",3,pretty color fit like sack,0.802
"Adorable, but ...",4,adorable,0.4939
Stick to washing instructions,3,stick washing instruction,0.0
It’s bright yellow instead of a soft mustard. Overall a good buy.,4,bright yellow instead soft mustard overall good buy,0.7003
So comfy! great for pajamas or super casual,4,comfy great pajama sup casual,0.7096
MY FAVORITE SWEATER,5,favorite sweater,0.4588
legs a little too long ...hoping shrink a little,3,leg little long hope shrink little,0.3862
The length was way to long. Will reorder in short length,2,length way long reorder short length,0.0
Not 100% Linen,2,100 linen,0.0
I can wear this anywhere,4,wear,0.0
Odd shape,2,odd shape,-0.3182
Jacket fits ok but pants is way too short!!!,1,jacket fit ok pant way short,0.5719
Not worth your time and money,2,worth time money,0.2263
Comfortable quality and a real value.,5,comfortable quality real value,0.6908
Confused by the gold,4,confuse gold,-0.2263
"Delightful, different, gets dirty asap",2,delightful different get dirty asap,0.2263
FAKE PRODUCT BUYER BEWARE,1,fake product buyer beware,-0.4767
Viet-no,1,vietno,0.0
Great skirt but..,4,great skirt,0.6249
Cute but runs small,4,cute run small,0.4588
Size chart,2,size chart,0.0
"Upholstery material, dry clean only! runs small.",2,upholstery material dry clean run small,0.4019
See through & Cheap,1,  cheap,0.0
Whimsy with flair,4,whimsy flair,0.0
Served it purpose,5,serve purpose,0.0
Returning for a smaller size,2,return small size,0.0
Needs to be ironed,3,need iron,0.0
"Wanted to love this dress, but...",2,want love dress,0.6705
A lot to work with,4,lot work,0.0
Very comfortableq,5,comfortableq,0.0
Essentially garbage,2,essentially garbage,0.0
Belly shirt,2,belly shirt,0.0
"Worn twice, belt look already pulled",3,wear twice belt look pulled,0.0
Large neck,3,large neck,0.0
Nice but no...,3,nice,0.4215
Waist,2,waist,0.0
Oddly sized,1,oddly size,0.0
Flawed,1,flaw,0.0
More like a crop top,2,like crop,0.3612
"Very well made, ver good fit",4,ver good fit,0.6597
Love color,5,love color,0.6369
Best Hoodie Ever,5,good hoodie,0.4404
"One size is too big, the other too small!",3,size big small,0.0
Way too ugly compared to the picture you had on it.,1,way ugly compare picture,-0.5106
Not last year's cut,3,year cut,-0.2732
Great lbd for the winter,4,great lbd winter,0.6249
Not for chesty people,2,chesty people,0.0
When buying this make sure you put a size down.,1,buy sure size,0.3182
Thin/see through,4,thinsee,0.0
Pretty but underwhelmed,3,pretty underwhelmed,0.4939
Too big and weird bottom cut,2,big weird cut,-0.4215
Very cute but size down,4,cute size,0.4588
Very nice jeans!!,5,nice jean,0.4215
Love the cropped flare,5,love crop flare,0.6369
Not good to be used as work jeans.,1,good work jean,0.4404
Beautiful from the front. . . .,3,beautiful   ,0.5994
Awesome shirt!,5,awesome shirt,0.6249
It's warm and comfortable,5,warm comfortable,0.6369
"Loved, but unsure about quality",3,love unsure quality,0.4939
Ripped right pocket seam,1,rip right pocket seam,0.0
Liked but too big,3,like big,0.3612
Good but quality issue with one out of 5,4,good quality issue 5,0.4404
Fit perfet,5,fit perfet,0.3612
Very flattering dress,5,flattering dress,0.3182
Much nicer on than on the hanger!,4,nice hanger,0.4215
See through material,1,material,0.0
Perfect for Prom for my son!,5,perfect prom son,0.5719
Comfortable pjs,5,comfortable pjs,0.5106
Didn’t like the material.,2,not like material,-0.2755
Gorgeous - but.......,3,gorgeous  ,0.6124
Ripped after only being worn 3 times,1,rip wear 3 time,0.0
Beware when washing,3,beware washing,0.0
Nice T-shirt for my husband to wear out,5,nice tshirt husband wear,0.4215
Arrived dirty with name written on tag,3,arrive dirty write tag,-0.4404
They run a little bit small,4,run little bit small,0.0
To big in waist,2,big waist,0.0
Just bad,1,bad,-0.5423
Could have been great but just ok,3,great ok,0.743
Cheap suit set,3,cheap suit set,0.0
What do you expect for 30 bucks,4,expect 30 buck,0.0
so comfy,5,comfy,0.0
The size is small compared to U.S. sizes,1,size small compare size,0.0
the WORST pajamas.,1,bad pajama,-0.5423
Buy at your own risk...,3,buy risk,-0.2732
Not the best one I bought,3,good buy,0.4404
Looks can be deceiving...,3,look deceive,-0.4019
"Huge jacket, wash color is not as pictured",1,huge jacket wash color picture,0.3182
Dry clean only for casual top. no way!,2,dry clean casual way,0.5423
It shrink!!,1,shrink,0.0
Beautiful cardigan!,5,beautiful cardigan,0.5994
Sad top.,2,sad,-0.4767
Great buy on sale,4,great buy sale,0.6249
Used & dirty!!!,1,  dirty,-0.4404
Not dockers what I thought I was buying,1,docker think buy,0.0
Fit as Expected but is Too Long,2,fit expect long,0.3612
Across the breast area was tight have to wear underneath shirt and wear open front unbutton.,4,breast area tight wear underneath shirt wear open unbutton,0.0
Shoulders are very narrow.,1,shoulder narrow,0.0
"DO NOT BUY YOUR USUAL SIZE, BUY LARGER",1,buy usual size buy large,0.0
Not loose enough to “hide belly”,4,loose hide belly,-0.4588
Flattering basic,5,flattering basic,0.3182
Not what I thought,1,think,0.0
Great spring staple,4,great spring staple,0.6249
Really great quality... size up one or two sizes,5,great quality size size,0.6249
Yee haw,5,yee haw,0.0
Planning on living in these!,5,plan live,0.0
Seat busting out at the pocket,1,seat bust pocket,0.0
Awkward length,2,awkward length,-0.1531
Not at all as described.,1,describe,0.0
Who was the petite fit model for this?,2,petite fit model,0.3612
Not as represented,1,represent,0.0
Pockets not well executed,3,pocket execute,0.0
HUGE! Wide leg,5,huge wide leg,0.3182
"Low quality, in my opinion",1,low quality opinion,-0.2732
Look nice but they wrinkle so badly I can not keep them.,3,look nice wrinkle badly,-0.0772
Cute cardigan,4,cute cardigan,0.4588
Effortless jumpsuit,5,effortless jumpsuit,0.0
Looks just like the picture.,3,look like picture,0.3612
Romper rules,4,romper rule,0.0
Soft but tight.,2,soft tight,0.0
Horrible product the zipper failed on day three,1,horrible product zipper fail day,-0.7906
A bit big and sloppy,2,bit big sloppy,0.0
Very stretchy,3,stretchy,0.0
Absolute trash.,1,absolute trash,0.0
Much lovelier in person,4,lovelier person,0.0
Fits like a maternity top,3,fit like maternity,0.6124
"Mala descripción no son elásticos,",1,mala descripción son elástico,0.0
Design flaw,1,design flaw,0.0
I was disappointed.,2,disappoint,-0.4019
Thin and Cheap,1,thin cheap,0.0
Stretch in all the right places,5,stretch right place,0.0
I couldn’t love these more,5,not love,-0.5216
Stretchy and comfy,5,stretchy comfy,0.0
Wrong size and clearly used,1,wrong size clearly,-0.1027
The quality of the material was not as expected.,3,quality material expect,0.0
What i expected,4,expect,0.0
Like pills??,2,like pill,0.3612
Didn't fit right....,2,not fit right,-0.2755
Not quite the right fit,4,right fit,0.3612
Fantastic white pant!,4,fantastic white pant,0.5574
Jury is still out,4,jury,0.0
Good but runs very small,4,good run small,0.4404
Beautiful but didn't work for me,4,beautiful not work,0.5994
XXL is more like XL,1,xxl like xl,0.3612
Straight garbage,1,straight garbage,0.2263
Cute dress for younger women,4,cute dress young woman,0.4588
Price!,5,price,0.0
Red dye runs,1,red dye run,0.0
Poor sewing,1,poor sewing,-0.4767
Seams in crotch are only surged. every pair opened in the crotch area the first time worn.,2,seam crotch surge pair open crotch area time wear,0.0
Cute buttt…,2,cute buttt,0.4588
Bought for hubby to go with the pants,5,buy hubby pant,0.0
Like don't love,4,like not love,-0.2187
This outfit really deserves five starts.,4,outfit deserve start,0.0
Pants too small at the bottom,3,pant small,0.0
More cropped than shown,3,cropped show,0.0
Not as advertised!,3,advertise,0.0
Should have looked more closely at description...,3,look closely description,0.0
Looks great-Very comfortable,4,look greatvery comfortable,0.5106
Cute style but runs big!,4,cute style run big,0.4588
Cute but needs small adjustment,3,cute need small adjustment,0.4588
Polka dot liner visible,1,polka dot liner visible,0.0
Beautiful boho top,3,beautiful boho,0.5994
Good shirt but hit or miss on fit,3,good shirt hit miss fit,0.5859
Good quality; odd fit,3,good quality odd fit,0.4767
Hideous looking,2,hideous look,0.0
Great little easy-wear dress,4,great little easywear dress,0.6249
Huge and not a good color,1,huge good color,0.6369
Casual and fashionable,3,casual fashionable,0.2023
Too peachy,2,peachy,0.0
Comfy and unique with some minor design flaws,4,comfy unique minor design flaw,0.0
sizes run small . 3x was the size of a 2x,1,size run small   3x size 2x,0.0
Awesome jumpsuit! many compliments!,5,awesome jumpsuit compliment,0.802
Poor fit - short-waisted,2,poor fit   shortwaiste,-0.1531
For a fabulous look,5,fabulous look,0.5267
Great pair of athletic pants.,5,great pair athletic pant,0.6249
I did not get too try it coz there’s a big hole in the upper left of the shirt. Was totally shocked,1,try coz s big hole upper left shirt totally shocked,-0.3804
Dont bother,1,not bother,0.2584
This is a good one!,5,good,0.4404
I used the size chart when ordering think I need a XL,5,size chart ordering think need xl,0.0
Quality of suit,2,quality suit,0.0
Elegant boho chic!,5,elegant boho chic,0.6369
Long arms,3,long arm,0.0
Stylish top,4,stylish,0.0
Fantastic blouse!,5,fantastic blouse,0.5574
"Love the pant, however...",3,love pant,0.6369
Beautiful sweater.  I need to order in smaller size.,5,beautiful sweater   need order small size,0.5994
Great for Gymnastics and Running!,5,great gymnastic run,0.6249
Bad quality pants,1,bad quality pant,-0.5423
Ugh 😑,2,ugh,-0.4215
I like it a lot...,5,like lot,0.3612
"Buy a size larger in the waist, the strangest relaxed fit I've found.",2,buy size large waist strangest relaxed fit ve find,0.6908
Tight af,3,tight af,0.0
Tiny!,5,tiny,0.0
"Lasrge, but adequate.",4,lasrge adequate,0.2263
label causes itching,3,label cause itching,0.0
Against the majority,5,majority,0.0
"Tamaño apropiado, esperaba que el tejido fuese de mayor calidad, pero aún así está bien",5,tamaño apropiado esperaba que el tejido fuese de mayor calidad pero aún así está bien,0.0
Frayed bottom hem.....,3,fray hem,0.0
Ideal spring weight,5,ideal spring weight,0.5267
"Elegant design, awkward cowl",4,elegant design awkward cowl,0.3612
So flimsy,2,flimsy,0.0
Love these!!,5,love,0.6369
